,Original,Destination,passengers
0,Montana,Montana,3296.0
1,Montana,Florida,184.0
2,Montana,Washington,30025.0
3,Montana,Arkansas,0.0
4,Montana,South Dakota,4.0
5,Montana,Mississippi,0.0
6,Montana,Kansas,0.0
7,Montana,Virginia,459.0
8,Montana,Georgia,1599.0
9,Montana,Kentucky,0.0
10,Montana,Rhode Island,0.0
11,Montana,Oklahoma,0.0
12,Montana,Louisiana,0.0
13,Montana,Minnesota,27276.0
14,Montana,U.S. Pacific Trust Territories and Possessions,0.0
15,Montana,Michigan,508.0
16,Montana,Pennsylvania,727.0
17,Montana,Nebraska,0.0
18,Montana,Wyoming,133.0
19,Montana,Oregon,2382.0
20,Montana,Iowa,86.0
21,Montana,South Carolina,0.0
22,Montana,Vermont,0.0
23,Montana,Maryland,0.0
24,Montana,Connecticut,0.0
25,Montana,North Carolina,7076.0
26,Montana,New Mexico,0.0
27,Montana,U.S. Virgin Islands,0.0
28,Montana,Texas,21820.0
29,Montana,New Jersey,734.0
30,Montana,New Hampshire,0.0
31,Montana,Alaska,0.0
32,Montana,North Dakota,0.0
33,Montana,Maine,0.0
34,Montana,Colorado,64056.0
35,Montana,California,11680.0
36,Montana,Missouri,0.0
37,Montana,Nevada,9021.0
38,Montana,Delaware,0.0
39,Montana,Wisconsin,107.0
40,Montana,New York,1253.0
41,Montana,Puerto Rico,0.0
42,Montana,Ohio,0.0
43,Montana,Alabama,0.0
44,Montana,Utah,38778.0
45,Montana,Hawaii,0.0
46,Montana,Illinois,17837.0
47,Montana,Indiana,0.0
48,Montana,Idaho,3.0
49,Montana,West Virginia,0.0
50,Montana,Tennessee,981.0
51,Montana,Arizona,5506.0
52,Montana,Massachusetts,231.0
53,Florida,Montana,169.0
54,Florida,Florida,233196.0
55,Florida,Washington,33536.0
56,Florida,Arkansas,3078.0
57,Florida,South Dakota,0.0
58,Florida,Mississippi,3667.0
59,Florida,Kansas,240.0
60,Florida,Virginia,172316.0
61,Florida,Georgia,594621.0
62,Florida,Kentucky,81337.0
63,Florida,Rhode Island,25663.0
64,Florida,Oklahoma,5264.0
65,Florida,Louisiana,16045.0
66,Florida,Minnesota,62618.0
67,Florida,U.S. Pacific Trust Territories and Possessions,0.0
68,Florida,Michigan,133632.0
69,Florida,Pennsylvania,238854.0
70,Florida,Nebraska,2268.0
71,Florida,Wyoming,0.0
72,Florida,Oregon,4312.0
73,Florida,Iowa,5284.0
74,Florida,South Carolina,16836.0
75,Florida,Vermont,0.0
76,Florida,Maryland,159203.0
77,Florida,Connecticut,52213.0
78,Florida,North Carolina,339286.0
79,Florida,New Mexico,229.0
80,Florida,U.S. Virgin Islands,21741.0
81,Florida,Texas,553922.0
82,Florida,New Jersey,282563.0
83,Florida,New Hampshire,6881.0
84,Florida,Alaska,0.0
85,Florida,North Dakota,0.0
86,Florida,Maine,4187.0
87,Florida,Colorado,140272.0
88,Florida,California,151928.0
89,Florida,Missouri,101253.0
90,Florida,Nevada,56964.0
91,Florida,Delaware,689.0
92,Florida,Wisconsin,22286.0
93,Florida,New York,471711.0
94,Florida,Puerto Rico,142951.0
95,Florida,Ohio,99480.0
96,Florida,Alabama,11140.0
97,Florida,Utah,32072.0
98,Florida,Hawaii,1039.0
99,Florida,Illinois,313077.0
100,Florida,Indiana,59174.0
101,Florida,Idaho,137.0
102,Florida,West Virginia,5114.0
103,Florida,Tennessee,129397.0
104,Florida,Arizona,42122.0
105,Florida,Massachusetts,164301.0
106,Washington,Montana,29123.0
107,Washington,Florida,34647.0
108,Washington,Washington,167239.0
109,Washington,Arkansas,0.0
110,Washington,South Dakota,0.0
111,Washington,Mississippi,0.0
112,Washington,Kansas,1798.0
113,Washington,Virginia,25035.0
114,Washington,Georgia,44133.0
115,Washington,Kentucky,7330.0
116,Washington,Rhode Island,2.0
117,Washington,Oklahoma,2873.0
118,Washington,Louisiana,2512.0
119,Washington,Minnesota,50875.0
120,Washington,U.S. Pacific Trust Territories and Possessions,0.0
121,Washington,Michigan,26286.0
122,Washington,Pennsylvania,18200.0
123,Washington,Nebraska,4374.0
124,Washington,Wyoming,960.0
125,Washington,Oregon,94811.0
126,Washington,Iowa,0.0
127,Washington,South Carolina,3818.0
128,Washington,Vermont,0.0
129,Washington,Maryland,5365.0
130,Washington,Connecticut,0.0
131,Washington,North Carolina,18355.0
132,Washington,New Mexico,4883.0
133,Washington,U.S. Virgin Islands,0.0
134,Washington,Texas,100539.0
135,Washington,New Jersey,24830.0
136,Washington,New Hampshire,0.0
137,Washington,Alaska,110298.0
138,Washington,North Dakota,0.0
139,Washington,Maine,0.0
140,Washington,Colorado,99593.0
141,Washington,California,399265.0
142,Washington,Missouri,18297.0
143,Washington,Nevada,102228.0
144,Washington,Delaware,0.0
145,Washington,Wisconsin,5024.0
146,Washington,New York,29167.0
147,Washington,Puerto Rico,0.0
148,Washington,Ohio,4232.0
149,Washington,Alabama,0.0
150,Washington,Utah,59376.0
151,Washington,Hawaii,58171.0
152,Washington,Illinois,79432.0
153,Washington,Indiana,4907.0
154,Washington,Idaho,34043.0
155,Washington,West Virginia,0.0
156,Washington,Tennessee,14424.0
157,Washington,Arizona,88896.0
158,Washington,Massachusetts,28201.0
159,Arkansas,Montana,0.0
160,Arkansas,Florida,3289.0
161,Arkansas,Washington,0.0
162,Arkansas,Arkansas,45.0
163,Arkansas,South Dakota,0.0
164,Arkansas,Mississippi,154.0
165,Arkansas,Kansas,0.0
166,Arkansas,Virginia,2042.0
167,Arkansas,Georgia,27269.0
168,Arkansas,Kentucky,0.0
169,Arkansas,Rhode Island,0.0
170,Arkansas,Oklahoma,0.0
171,Arkansas,Louisiana,27.0
172,Arkansas,Minnesota,707.0
173,Arkansas,U.S. Pacific Trust Territories and Possessions,0.0
174,Arkansas,Michigan,0.0
175,Arkansas,Pennsylvania,0.0
176,Arkansas,Nebraska,0.0
177,Arkansas,Wyoming,0.0
178,Arkansas,Oregon,0.0
179,Arkansas,Iowa,0.0
180,Arkansas,South Carolina,0.0
181,Arkansas,Vermont,0.0
182,Arkansas,Maryland,0.0
183,Arkansas,Connecticut,0.0
184,Arkansas,North Carolina,15177.0
185,Arkansas,New Mexico,0.0
186,Arkansas,U.S. Virgin Islands,0.0
187,Arkansas,Texas,58168.0
188,Arkansas,New Jersey,0.0
189,Arkansas,New Hampshire,0.0
190,Arkansas,Alaska,0.0
191,Arkansas,North Dakota,0.0
192,Arkansas,Maine,0.0
193,Arkansas,Colorado,12853.0
194,Arkansas,California,0.0
195,Arkansas,Missouri,3658.0
196,Arkansas,Nevada,3125.0
197,Arkansas,Delaware,0.0
198,Arkansas,Wisconsin,0.0
199,Arkansas,New York,1486.0
200,Arkansas,Puerto Rico,0.0
201,Arkansas,Ohio,0.0
202,Arkansas,Alabama,0.0
203,Arkansas,Utah,0.0
204,Arkansas,Hawaii,0.0
205,Arkansas,Illinois,12500.0
