,index,State,Month,SIIP,IRCC,IIP,IP,IC,NIP,NIIP,SNIIP,OPE,OIPE,SOIPE
0,140,Delaware,1,1.4247440713674948e-05,0.08123779321658132,14.104225439621088,93.0,20007,-2.0,6.386635084045862,6.451485415441884e-06,188.0,21.82181579519631,2.204339601190801e-05
1,141,Delaware,2,4.072597615213945e-05,0.05233701406746332,40.31659863985814,524.0,8304,-105.0,7.39661679142371,7.471722546460734e-06,1153.0,73.23658048829257,7.398022975781816e-05
2,142,Delaware,3,6.475410976225485e-05,0.04647831373162716,64.10320145092467,1034.0,7722,-282.0,2.9377405801033247,2.9675705997722352e-06,2350.0,125.268662321746,0.00012654064892473748
3,143,Delaware,4,0.0001260059798153912,0.06387564450851028,124.7393677062869,1691.0,9217,274.0,34.227579437727826,3.4575128630723864e-05,3108.0,215.25115597484597,0.00021743683100005856
4,144,Delaware,5,6.0297971336271136e-05,0.03261997156798709,59.69185612839894,1175.0,4245,197.0,27.78952393490756,2.8071700670042832e-05,2153.0,91.59418832189031,9.252424200249944e-05
5,145,Delaware,6,2.7753565821406876e-05,0.01585022470024428,27.474586977770095,1010.0,850,-104.0,9.817436661697965,9.917123588004587e-06,2124.0,45.13173729384223,4.559000805480917e-05
6,146,Delaware,7,0.00020337628071558664,0.03371573332234877,201.33194234183355,1571.0,1637,-130.0,143.9814799605183,0.00014544347779935743,3272.0,258.68240472314886,0.00026130908363181587
7,147,Delaware,8,0.00027816440359676296,0.07710267333916246,275.3682950118083,1660.0,8289,74.0,153.08345509589665,0.000154637875015553,3246.0,397.6531349277199,0.0004016909321779729
8,148,Delaware,9,0.0001266810578002734,0.08662447143012035,125.40765980726505,926.0,12783,20.0,46.925888691576,4.7402377389091146e-05,1832.0,203.8894309229541,0.00020595973821145564
9,149,Delaware,10,5.267081657727972e-05,0.06347200680292478,52.14136952904491,1233.0,10599,6.0,-25.738782818143797,-2.600013618709649e-05,2460.0,130.0215218762336,0.00013134176934165594
