,index,State,Month,SIIP,IRCC,IIP,IP,IC,NIP,NIIP,SNIIP,OPE,OIPE,SOIPE
0,250,Massachusetts,1,0.005594644306468938,0.05537052874433775,39329.8851189992,333612.0,148847,41587.0,23160.30646243396,0.003294534837670766,625637.0,55499.46377556441,0.007894753775267107
1,251,Massachusetts,2,0.003271124199439957,0.022005387449630886,22995.731618754344,315811.0,54725,-14103.0,15735.846223696824,0.0022384113814852757,645725.0,30255.617013811865,0.004303837017394638
2,252,Massachusetts,3,0.006286104557265114,0.021704230395416645,44190.7932908955,479908.0,53037,11274.0,34019.45298376982,0.004839239635940199,948542.0,54362.13359802118,0.007732969478590029
3,253,Massachusetts,4,0.0057943671692407845,0.020718074365587227,40733.92026728767,633467.0,50634,-17732.0,27242.33095849163,0.003875199516365788,1284666.0,54225.509576083714,0.007713534822115782
4,254,Massachusetts,5,0.004536204276546507,0.010509170774340371,31889.139559166993,820555.0,16666,51820.0,23810.37216395445,0.0033870061572497156,1589290.0,39967.90695437954,0.0056854023958433
5,255,Massachusetts,6,0.0034063815546432072,0.0033011178388449,23946.579599472712,983894.0,2835,41388.0,20835.25622965436,0.0029637983250235186,1926400.0,27057.902969291074,0.003848964784262897
6,256,Massachusetts,7,0.011672070077574898,0.011924529041760973,82053.68386353509,1166106.0,9731,-60899.0,67422.2271066491,0.009590757203342386,2393111.0,96685.14062042104,0.013753382951807402
7,257,Massachusetts,8,0.019422691209747038,0.027468698674768387,136539.90712115128,1142769.0,40089,16549.0,105604.10929965362,0.015022099023310462,2268989.0,167475.7049426488,0.023823283396183597
8,258,Massachusetts,9,0.014581176369842989,0.02087841623581075,102504.45964235751,986131.0,50045,26940.0,82478.07069471397,0.011732438760616089,1945322.0,122530.84859000109,0.017429913979069893
9,259,Massachusetts,10,0.009303299287120837,0.016156074347536666,65401.421814618654,1125363.0,38323,-44864.0,46495.14739912389,0.00661389706295592,2295590.0,84307.69623011345,0.011992701511285758
