,index,State,Month,SIIP,IRCC,IIP,IP,IC,NIP,NIIP,SNIIP,OPE,OIPE,SOIPE
0,10,New Mexico,1,0.0035713017945755952,0.08312867414182049,7562.310118653304,54508.0,29922,-1139.0,2936.4487886834195,0.0013867382670326067,110155.0,12188.171448623185,0.0057558653221185824
1,11,New Mexico,2,0.0021373192423724606,0.03125581505253115,4525.820516747018,55218.0,10582,-348.0,2789.059897538072,0.0013171338467973756,110784.0,6262.581135955962,0.002957504637947545
2,12,New Mexico,3,0.002760922544779718,0.0217466438991339,5846.314228867039,105381.0,6355,1690.0,3591.3829763219474,0.0016960310099833425,209072.0,8101.245481412131,0.0038258140795760947
3,13,New Mexico,4,0.0026295218639939967,0.02224801851182743,5568.070396488296,116540.0,5788,-4777.0,2869.007534688928,0.0013548891273332357,237857.0,8267.133258287664,0.0039041546006547577
4,14,New Mexico,5,0.0026392695583019477,0.023705249818297025,5588.711353634657,151111.0,5088,-1888.0,1961.8318366850312,0.0009264753030594399,304110.0,9215.590870584283,0.0043520638135444555
5,15,New Mexico,6,0.0031449074156200056,0.014304089019173821,6659.4106405385055,189359.0,2391,-772.0,3939.759891233968,0.0018605520467952484,379490.0,9379.061389843044,0.004429262784444763
6,16,New Mexico,7,0.00726611083285834,0.0323675580648433,15386.149543015857,207455.0,4787,1173.0,8709.304930283846,0.004112970221931034,413737.0,22062.99415574786,0.010419251443785641
7,17,New Mexico,8,0.011567330535094797,0.06713362003786436,24494.076889335007,193527.0,22198,1327.0,11590.995118057483,0.005473848733594023,385727.0,37397.15866061254,0.01766081233659558
8,18,New Mexico,9,0.009308808889641773,0.05060638556900777,19711.607617612026,194629.0,19537,5952.0,10163.346607608348,0.004799641565758631,383306.0,29259.86862761571,0.013817976213524917
9,19,New Mexico,10,0.006890261083990601,0.06461589573989339,14590.279431093944,218567.0,21394,-9774.0,-164.1788180490487,-7.753346508279428e-05,446908.0,29344.737680236954,0.013858055633064003
