,State,month,Increased_Confirmed,Increased_Deaths,Increased_Recovered,Total_test_in_the_month,Confirmed_overall,Test_overall
0,South Dakota,1,9086,290,11659.0,29973.0,103707.0,387626.5
1,South Dakota,2,4112,110,4897.0,19666.0,110371.0,412716.0
2,South Dakota,3,5289,47,,310555.0,115114.5,578094.5
3,South Dakota,4,4671,29,,41693.0,120324.5,755749.5
4,South Dakota,5,1531,47,,26993.0,123425.5,793043.5
5,South Dakota,6,355,21,,14534.0,124368.5,814503.0
6,South Dakota,7,655,7,,15793.0,124897.5,831155.5
7,South Dakota,8,7034,26,,38408.0,128742.0,858256.0
8,South Dakota,9,12181,72,,66964.0,138927.5,917321.0
9,South Dakota,10,9008,90,,48238.0,149978.0,977218.0
10,Maine,1,14422,238,1035.0,265184.0,32113.0,1244005.0
11,Maine,2,5092,108,378.0,212065.0,42089.0,1514068.5
12,Maine,3,5741,40,,128673.0,47633.5,1705125.5
13,Maine,4,10425,40,,279919.0,56000.5,1921786.5
14,Maine,5,6171,36,,175381.0,64701.5,2167438.5
15,Maine,6,1215,33,,83472.0,68426.5,2296876.0
16,Maine,7,1408,41,,76724.0,69759.0,2379504.0
17,Maine,8,5393,32,,110801.0,73159.5,2473292.5
18,Maine,9,13699,88,,171371.0,83139.5,2614556.5
19,Maine,10,13532,143,,194514.0,97493.0,2850244.0
20,Virginia,1,150013,1383,9358.0,942835.0,429772.5,4762737.5
21,Virginia,2,68410,2078,,640921.0,541845.0,5582261.5
22,Virginia,3,41802,1469,,550219.0,598075.0,6191023.5
23,Virginia,4,38789,502,,532101.0,640195.5,6748243.5
24,Virginia,5,14985,409,,389020.0,668045.5,7228468.0
25,Virginia,6,4743,221,,256729.0,677968.5,7557718.5
26,Virginia,7,13820,113,,278408.0,687474.0,7834497.0
27,Virginia,8,72051,310,,567700.0,730409.5,8257551.0
28,Virginia,9,96934,889,,708157.0,818309.0,8918419.5
29,Virginia,10,55443,1101,,621356.0,897049.5,9612035.0
30,Louisiana,1,85351,1371,80609.0,793266.0,357950.5,4610815.0
31,Louisiana,2,28509,696,64142.0,558206.0,415845.5,5298064.0
32,Louisiana,3,14429,513,,432078.0,437718.5,5801543.0
33,Louisiana,4,13112,221,,444183.0,452025.0,6252979.5
34,Louisiana,5,12104,194,,334707.0,464633.0,6658585.5
35,Louisiana,6,9804,146,,292708.0,476565.0,6972293.0
36,Louisiana,7,59644,251,,446901.0,511857.0,7352393.5
37,Louisiana,8,138117,1360,,891036.0,610737.5,8021362.0
38,Louisiana,9,48357,1367,,691642.0,716354.5,8812701.0
39,Louisiana,10,16565,559,,584590.0,750188.5,9476871.0
40,New York,1,424091,5477,24830.0,6657438.0,1207861.5,28833032.0
41,New York,2,215028,3795,,5770126.0,1536353.0,35221852.0
42,New York,3,222835,2578,,6434710.0,1761720.5,41498428.0
43,New York,4,165842,1882,,6055167.0,1965229.0,47963735.5
44,New York,5,50382,991,,4644628.0,2077213.0,53533707.0
45,New York,6,12117,347,,2820722.0,2108927.5,57337624.0
